X1,X2,X3,X4,X5,z_score,zone,revenue_growth,leverage_ratio,interest_coverage,defaulted
0.5549,0.4785,0.2482,1.3396,1.4565,3.5904,safe,0.1184,0.7205,5.7308,0
0.3735,0.4611,0.1067,1.9245,1.7464,3.541,safe,-0.0191,0.3287,10.2187,0
-0.0282,-0.041,-0.0331,0.4714,0.422,0.4614,distress,0.0235,4.8344,0.9124,0
0.0964,-0.1233,0.0815,0.5737,0.7608,1.2184,distress,-0.1422,4.9982,0.212,1
0.35,0.2278,0.199,1.7514,1.828,3.6221,safe,0.1744,0.5914,4.394,0
0.0714,0.0968,0.0899,0.5698,0.6984,1.3489,grey,-0.0852,2.1308,3.856,1
-0.0201,0.2708,0.0185,0.242,0.701,1.0737,distress,-0.0344,2.5191,1.7936,1
0.2605,0.1422,0.1029,0.9089,1.0744,2.0809,grey,0.1694,1.7652,1.6728,0
-0.1457,-0.1995,-0.0231,0.0579,0.9447,0.6219,distress,-0.0521,3.6288,0.7127,1
0.1657,0.1033,0.1139,0.6888,0.9589,1.8065,grey,0.071,1.922,3.312,0
0.0475,0.077,0.1414,0.6081,1.0601,1.852,grey,-0.0277,0.8525,2.4911,0
0.1601,-0.0406,0.0933,0.4809,0.9499,1.5204,grey,-0.0993,2.0099,1.757,0
0.5504,0.3824,0.1902,1.5805,1.0816,3.0527,safe,-0.0478,0.6755,11.7233,0
0.2606,0.2737,0.1388,2.4909,1.1505,3.0444,safe,0.1573,0.4802,10.0186,0
0.2718,0.1936,0.1561,0.9076,1.1263,2.349,grey,-0.0115,0.8701,1.7499,0
0.009,0.1061,0.0435,0.9134,1.0131,1.6263,grey,0.0325,2.3697,2.1147,0
-0.1336,0.0957,-0.027,0.5018,0.3603,0.4716,distress,0.0473,2.991,1.3105,0
0.3262,0.2734,0.1939,1.5223,1.3415,3.0461,safe,0.1408,0.5755,6.5439,0
0.0318,0.1466,0.0923,1.1254,1.0377,1.9421,grey,-0.1564,0.9339,2.4617,0
0.4665,0.4647,0.1986,2.0948,0.8547,3.078,safe,0.0747,0.321,4.9516,0
0.4056,0.3177,0.1975,2.5368,1.5678,3.8036,safe,-0.092,0.6195,7.0907,0
-0.0906,0.0109,0.128,0.2294,0.5947,1.0318,distress,-0.0481,2.9488,0.5284,0
0.1622,0.1925,0.2326,1.935,1.3236,3.1357,safe,0.1916,0.3565,9.2134,0
